participant_id,start_date,end_date,batch,duration,qualtrics_duration,dg_a_transfer,dg_a_moral,dg_a1_moral,dg_a2_moral,dg_a_chosen_moral,tg_c_moral,tg_a_moral,believe_real,dgtg_payoff,total_bonus,tg_payoff,tg_a_return,tg_c_keep,tg_c_transfer_x3,tg_c_transfer,tg_total,tg_partner_choice,dg_payoff,dg_a2_transfer,dg_a_gen_transfer,dg_a1_transfer,dg_total,participant_role,partner_choice,public_private,unique_group_id,group_id,observability,dg_a_chosen_transfer,dg_a_gen_transfer_ratio,dg_a_transfer_ratio,dg_a1_transfer_ratio,dg_a2_transfer_ratio,dg_a_chosen_transfer_ratio,tg_c_transfer_ratio,tg_a_return_ratio
248,2023-05-18T16:51:00Z,2023-05-18T17:02:00Z,2,11,663,0.5,92,NA,NA,92,NA,NA,No,0.5,1.1,NA,NA,NA,NA,NA,0.5,NA,0.5,NA,0.5,NA,0.5,B,no,public,20230518_38_no_public,38,1,0.5,1,1,NA,NA,1,NA,NA
249,2023-05-18T16:51:00Z,2023-05-18T17:01:00Z,2,10,590,0.5,100,NA,NA,100,100,0,No,0,0.6,0,0,NA,1.5,0.5,0.5,NA,0,NA,0.5,NA,0.5,C,no,public,20230518_38_no_public,38,1,0.5,1,1,NA,NA,1,1,0
250,2023-05-18T16:51:00Z,2023-05-18T17:06:00Z,2,15,881,0.25,85,NA,NA,85,89,91,Yes,0.5,1.1,0.5,0.5,NA,1.5,0.5,0.5,NA,0,NA,0.25,NA,0.5,C,no,private,20230518_39_no_private,39,0,0.25,0.5,0.5,NA,NA,0.5,1,1
251,2023-05-18T16:51:00Z,2023-05-18T17:05:00Z,2,14,812,0.4,88,NA,NA,88,NA,NA,Yes,0.4,1,NA,NA,NA,NA,NA,0.5,NA,0.4,NA,0.4,NA,0.5,B,no,private,20230518_40_no_private,40,0,0.4,0.8,0.8,NA,NA,0.8,NA,NA
252,2023-05-18T16:51:00Z,2023-05-18T17:15:00Z,2,24,1441,NA,NA,89,NA,89,66,62,Yes,0.5,1.1,0.5,0.25,0.25,0.75,0.25,0.5,A1,0,NA,0.5,0.5,0.5,A1,yes,public,20230518_40_yes_public,40,1,0.5,1,NA,1,NA,1,0.5,1
253,2023-05-18T16:51:00Z,2023-05-18T17:19:00Z,2,28,1675,NA,NA,NA,92,NA,NA,NA,No,0.25,0.85,NA,NA,NA,NA,NA,0.5,A1,0.25,0.25,0.25,NA,0.5,A2,yes,public,20230518_40_yes_public,40,1,NA,0.5,NA,NA,0.5,NA,NA,NA
254,2023-05-18T16:51:00Z,2023-05-18T17:10:00Z,2,19,1158,NA,NA,76,77,NA,NA,NA,Yes,0.75,1.35,NA,NA,NA,NA,NA,0.5,NA,0.75,0.25,NA,0.5,0.5,B,yes,public,20230518_40_yes_public,40,1,NA,NA,NA,1,0.5,NA,NA,NA
255,2023-05-18T16:51:00Z,2023-05-18T17:08:00Z,2,17,1022,NA,NA,79,NA,79,86,93,Yes,0.85,1.45,0.6,0.6,0.1,1.2,0.4,0.5,A1,0.25,NA,0.25,0.25,0.5,A1,yes,private,20230518_41_yes_private,41,0,0.25,0.5,NA,0.5,NA,0.5,0.8,1.4999999999999998
256,2023-05-18T16:51:00Z,2023-05-18T17:19:00Z,2,28,1709,NA,NA,NA,88,88,91,87,Yes,0,0.6,0,1.2,0.1,1.2,0.4,0.5,A2,0,0.5,0.5,NA,0.5,A2,yes,public,20230518_42_yes_public,42,1,0.5,1,NA,NA,1,1,0.8,2.9999999999999996
257,2023-05-18T16:51:00Z,2023-05-18T17:14:00Z,2,23,1335,0.1,96,NA,NA,96,89,91,Yes,1.7999999999999998,2.4,1.4,0.1,0,1.5,0.5,0.5,NA,0.4,NA,0.1,NA,0.5,A,no,public,20230518_43_no_public,43,1,0.1,0.2,0.2,NA,NA,0.2,1,0.2
258,2023-05-18T16:51:00Z,2023-05-18T17:10:00Z,2,19,1186,0.2,100,NA,NA,100,NA,NA,No,0.2,0.8,NA,NA,NA,NA,NA,0.5,NA,0.2,NA,0.2,NA,0.5,B,no,public,20230518_45_no_public,45,1,0.2,0.4,0.4,NA,NA,0.4,NA,NA
259,2023-05-18T16:51:00Z,2023-05-18T17:11:00Z,2,20,1179,0.2,51,NA,NA,51,51,51,Yes,0.3,0.8999999999999999,0.3,0,NA,0.6,0.2,0.5,NA,0,NA,0.2,NA,0.5,C,no,public,20230518_45_no_public,45,1,0.2,0.4,0.4,NA,NA,0.4,0.4,0
260,2023-05-18T16:51:00Z,2023-05-18T17:31:00Z,2,40,2386,NA,NA,83,100,100,100,89,Yes,0.75,1.35,0.75,0.75,NA,1.5,0.5,0.5,A2,0,0.5,NA,0.25,0.5,C,yes,private,20230518_53_yes_private,53,0,0.5,NA,NA,0.5,1,1,1,1.5
261,2023-05-18T16:52:00Z,2023-05-18T17:06:00Z,2,14,873,NA,NA,NA,78,78,100,89,No,0.9,1.5,0.75,0.75,0,1.5,0.5,0.5,A2,0.15,0.35,0.35,NA,0.5,A2,yes,public,20230518_31_yes_public,31,1,0.35,0.7,NA,NA,0.7,0.7,1,1.5
262,2023-05-18T16:52:00Z,2023-05-18T17:07:00Z,2,15,898,NA,NA,63,86,NA,NA,NA,No,0.45,1.05,NA,NA,NA,NA,NA,0.5,NA,0.45,0.35,NA,0.1,0.5,B,yes,public,20230518_31_yes_public,31,1,NA,NA,NA,0.2,0.7,NA,NA,NA
263,2023-05-18T16:52:00Z,2023-05-18T16:58:00Z,2,6,399,NA,NA,NA,25,NA,NA,NA,No,0.5,1.1,NA,NA,NA,NA,NA,0.5,A1,0.5,0,0,NA,0.5,A2,yes,private,20230518_33_yes_private,33,0,NA,0,NA,NA,0,NA,NA,NA
264,2023-05-18T16:52:00Z,2023-05-18T17:00:00Z,2,8,452,NA,NA,49,NA,NA,NA,NA,Yes,0,0.6,NA,NA,NA,NA,NA,0.5,A2,0,NA,0.5,0.5,0.5,A1,yes,public,20230518_34_yes_public,34,1,NA,1,NA,1,NA,NA,NA,NA
265,2023-05-18T16:52:00Z,2023-05-18T17:05:00Z,2,13,771,NA,NA,100,0,100,100,100,Yes,0.75,1.35,0.75,0.75,NA,1.5,0.5,0.5,A1,0,0,NA,0.25,0.5,C,yes,private,20230518_35_yes_private,35,0,0.25,NA,NA,0.5,0,0.5,1,1.5
266,2023-05-18T16:52:00Z,2023-05-18T16:59:00Z,2,7,422,0.5,100,NA,NA,100,NA,NA,No,0.5,1.1,NA,NA,NA,NA,NA,0.5,NA,0.5,NA,0.5,NA,0.5,B,no,private,20230518_36_no_private,36,0,0.5,1,1,NA,NA,1,NA,NA
267,2023-05-18T16:52:00Z,2023-05-18T17:00:00Z,2,8,486,0.5,63,NA,NA,63,100,0,No,1.5,2.1,1.5,0,0,1.5,0.5,0.5,NA,0,NA,0.5,NA,0.5,A,no,public,20230518_38_no_public,38,1,0.5,1,1,NA,NA,1,1,0
268,2023-05-18T16:52:00Z,2023-05-18T17:02:00Z,2,10,583,NA,NA,55,5,NA,NA,NA,Yes,0.1,0.7,NA,NA,NA,NA,NA,0.5,NA,0.1,0,NA,0.1,0.5,B,yes,private,20230518_38_yes_private,38,0,NA,NA,NA,0.2,0,NA,NA,NA
269,2023-05-18T16:52:00Z,2023-05-18T17:12:00Z,2,20,1214,NA,NA,74,19,NA,NA,NA,Yes,0.25,0.85,NA,NA,NA,NA,NA,0.5,NA,0.25,0,NA,0.25,0.5,B,yes,public,20230518_39_yes_public,39,1,NA,NA,NA,0.5,0,NA,NA,NA
270,2023-05-18T16:52:00Z,2023-05-18T17:06:00Z,2,14,850,0.25,66,NA,NA,66,NA,NA,Yes,0.25,0.85,NA,NA,NA,NA,NA,0.5,NA,0.25,NA,0.25,NA,0.5,B,no,public,20230518_42_no_public,42,1,0.25,0.5,0.5,NA,NA,0.5,NA,NA
271,2023-05-18T16:53:00Z,2023-05-18T17:00:00Z,2,7,436,0.25,77,NA,NA,77,NA,NA,No,0.25,0.85,NA,NA,NA,NA,NA,0.5,NA,0.25,NA,0.25,NA,0.5,B,no,public,20230518_35_no_public,35,1,0.25,0.5,0.5,NA,NA,0.5,NA,NA
272,2023-05-18T16:53:00Z,2023-05-18T17:02:00Z,2,9,558,NA,NA,100,NA,100,100,100,No,1,1.6,0.75,0.75,0,1.5,0.5,0.5,A1,0.25,NA,0.25,0.25,0.5,A1,yes,private,20230518_36_yes_private,36,0,0.25,0.5,NA,0.5,NA,0.5,1,1.5
273,2023-05-18T16:53:00Z,2023-05-18T17:01:00Z,2,8,480,NA,NA,NA,54,NA,NA,NA,No,0.5,1.1,NA,NA,NA,NA,NA,0.5,A1,0.5,0,0,NA,0.5,A2,yes,private,20230518_36_yes_private,36,0,NA,0,NA,NA,0,NA,NA,NA
274,2023-05-18T16:53:00Z,2023-05-18T17:01:00Z,2,8,509,NA,NA,78,29,NA,NA,NA,Yes,0.25,0.85,NA,NA,NA,NA,NA,0.5,NA,0.25,0,NA,0.25,0.5,B,yes,private,20230518_36_yes_private,36,0,NA,NA,NA,0.5,0,NA,NA,NA
275,2023-05-18T16:53:00Z,2023-05-18T17:05:00Z,2,12,714,NA,NA,84,46,84,73,85,No,0.75,1.35,0.75,0.75,NA,1.5,0.5,0.5,A1,0,0,NA,0.25,0.5,C,yes,private,20230518_36_yes_private,36,0,0.25,NA,NA,0.5,0,0.5,1,1.5
276,2023-05-18T16:53:00Z,2023-05-18T17:03:00Z,2,10,617,0.2,62,NA,NA,62,NA,NA,Yes,0.2,0.8,NA,NA,NA,NA,NA,0.5,NA,0.2,NA,0.2,NA,0.5,B,no,private,20230518_37_no_private,37,0,0.2,0.4,0.4,NA,NA,0.4,NA,NA
277,2023-05-18T16:53:00Z,2023-05-18T17:03:00Z,2,10,593,NA,NA,NA,55,55,54,53,Yes,1,1.6,1,0.5,0,1.5,0.5,0.5,A2,0,0.5,0.5,NA,0.5,A2,yes,public,20230518_37_yes_public,37,1,0.5,1,NA,NA,1,1,1,1
278,2023-05-18T16:53:00Z,2023-05-18T17:03:00Z,2,10,605,NA,NA,50,51,51,51,40,No,0.5,1.1,0.5,0.5,NA,1.5,0.5,0.5,A2,0,0.5,NA,0.3,0.5,C,yes,public,20230518_37_yes_public,37,1,0.5,NA,NA,0.6,1,1,1,1
279,2023-05-18T16:53:00Z,2023-05-18T17:02:00Z,2,9,547,0.25,71,NA,NA,71,NA,NA,Yes,0.25,0.85,NA,NA,NA,NA,NA,0.5,NA,0.25,NA,0.25,NA,0.5,B,no,private,20230518_39_no_private,39,0,0.25,0.5,0.5,NA,NA,0.5,NA,NA
280,2023-05-18T16:53:00Z,2023-05-18T17:11:00Z,2,18,1049,NA,NA,100,46,100,100,100,No,0.75,1.35,0.75,0.75,NA,1.5,0.5,0.5,A1,0,0,NA,0.25,0.5,C,yes,public,20230518_39_yes_public,39,1,0.25,NA,NA,0.5,0,0.5,1,1.5
281,2023-05-18T16:53:00Z,2023-05-18T17:22:00Z,2,29,1718,NA,NA,95,63,95,69,98,Yes,0.9,1.5,0.9,0.6,NA,0.6,0.2,0.5,A1,0,0.1,NA,0.5,0.5,C,yes,public,20230518_48_yes_public,48,1,0.5,NA,NA,1,0.2,1,0.4,2.9999999999999996
282,2023-05-18T16:54:00Z,2023-05-18T17:06:00Z,2,12,744,NA,NA,65,NA,65,90,90,Yes,1,1.6,0.75,0.75,0,1.5,0.5,0.5,A1,0.25,NA,0.25,0.25,0.5,A1,yes,public,20230518_39_yes_public,39,1,0.25,0.5,NA,0.5,NA,0.5,1,1.5
283,2023-05-18T16:54:00Z,2023-05-18T17:05:00Z,2,11,671,NA,NA,NA,51,NA,NA,NA,No,0.5,1.1,NA,NA,NA,NA,NA,0.5,A1,0.5,0,0,NA,0.5,A2,yes,public,20230518_39_yes_public,39,1,NA,0,NA,NA,0,NA,NA,NA
284,2023-05-18T16:54:00Z,2023-05-18T17:05:00Z,2,11,691,0.4,81,NA,NA,81,80,77,Yes,0.5,1.1,0.4,0.2,0.3,0.6,0.2,0.5,NA,0.1,NA,0.4,NA,0.5,A,no,private,20230518_40_no_private,40,0,0.4,0.8,0.8,NA,NA,0.8,0.4,1
285,2023-05-18T16:54:00Z,2023-05-18T17:16:00Z,2,22,1307,NA,NA,100,NA,NA,NA,NA,Yes,0.25,0.85,NA,NA,NA,NA,NA,0.5,A2,0.25,NA,0.25,0.25,0.5,A1,yes,public,20230518_42_yes_public,42,1,NA,0.5,NA,0.5,NA,NA,NA,NA
286,2023-05-18T16:55:00Z,2023-05-18T17:03:00Z,2,8,473,NA,NA,NA,100,NA,NA,NA,No,0.25,0.85,NA,NA,NA,NA,NA,0.5,A1,0.25,0.25,0.25,NA,0.5,A2,yes,private,20230518_41_yes_private,41,0,NA,0.5,NA,NA,0.5,NA,NA,NA
287,2023-05-18T16:55:00Z,2023-05-18T17:05:00Z,2,10,591,NA,NA,60,61,60,62,66,No,0.7,1.2999999999999998,0.7,0.6,NA,1.2,0.4,0.5,A1,0,0.25,NA,0.25,0.5,C,yes,private,20230518_41_yes_private,41,0,0.25,NA,NA,0.5,0.5,0.5,0.8,1.4999999999999998
288,2023-05-18T16:55:00Z,2023-05-18T17:13:00Z,2,18,1078,0.2,98,NA,NA,98,NA,NA,Yes,0.2,0.8,NA,NA,NA,NA,NA,0.5,NA,0.2,NA,0.2,NA,0.5,B,no,private,20230518_44_no_private,44,0,0.2,0.4,0.4,NA,NA,0.4,NA,NA
289,2023-05-18T16:56:00Z,2023-05-18T17:04:00Z,2,8,471,0.4,51,NA,NA,51,51,51,Yes,0.5,1.1,0.5,0.2,NA,0.6,0.2,0.5,NA,0,NA,0.4,NA,0.5,C,no,private,20230518_40_no_private,40,0,0.4,0.8,0.8,NA,NA,0.8,0.4,1
290,2023-05-18T16:56:00Z,2023-05-18T17:20:00Z,2,24,1391,0.1,93,NA,NA,93,97,37,Yes,0.46,1.06,0.06,0.03,0.47,0.09,0.03,0.5,NA,0.4,NA,0.1,NA,0.5,A,no,private,20230518_46_no_private,46,0,0.1,0.2,0.2,NA,NA,0.2,0.06,1
291,2023-05-18T16:57:00Z,2023-05-18T17:15:00Z,2,18,1086,NA,NA,73,94,94,74,92,Yes,1.3,1.9,1.3,1.2,NA,1.2,0.4,0.5,A2,0,0.5,NA,0.25,0.5,C,yes,public,20230518_42_yes_public,42,1,0.5,NA,NA,0.5,1,1,0.8,2.9999999999999996
292,2023-05-18T16:57:00Z,2023-05-18T17:11:00Z,2,14,831,0.1,53,NA,NA,53,NA,NA,Yes,0.1,0.7,NA,NA,NA,NA,NA,0.5,NA,0.1,NA,0.1,NA,0.5,B,no,public,20230518_43_no_public,43,1,0.1,0.2,0.2,NA,NA,0.2,NA,NA
293,2023-05-18T16:57:00Z,2023-05-18T17:06:00Z,2,9,543,0.2,75,NA,NA,75,27,40,Yes,0.4,1,0.1,0.05,0.45,0.15,0.05,0.5,NA,0.3,NA,0.2,NA,0.5,A,no,private,20230518_44_no_private,44,0,0.2,0.4,0.4,NA,NA,0.4,0.1,1
294,2023-05-18T16:57:00Z,2023-05-18T17:16:00Z,2,19,1164,NA,NA,9,NA,9,17,24,Yes,0.25,0.85,0,1.5,0,1.5,0.5,0.5,A1,0.25,NA,0.25,0.25,0.5,A1,yes,private,20230518_46_yes_private,46,0,0.25,0.5,NA,0.5,NA,0.5,1,3
295,2023-05-18T16:58:00Z,2023-05-18T17:11:00Z,2,13,783,0.1,24,NA,NA,24,74,5,No,0.1,0.7,0.1,0.1,NA,1.5,0.5,0.5,NA,0,NA,0.1,NA,0.5,C,no,public,20230518_43_no_public,43,1,0.1,0.2,0.2,NA,NA,0.2,1,0.2
296,2023-05-18T16:59:00Z,2023-05-18T17:11:00Z,2,12,769,NA,NA,11,12,NA,NA,NA,Yes,0.5,1.1,NA,NA,NA,NA,NA,0.5,NA,0.5,0.5,NA,0,0.5,B,yes,private,20230518_43_yes_private,43,0,NA,NA,NA,0,1,NA,NA,NA
297,2023-05-18T16:59:00Z,2023-05-18T17:05:00Z,2,6,385,0.2,32,NA,NA,32,66,12,Yes,0.5,1.1,0.5,0.05,NA,0.15,0.05,0.5,NA,0,NA,0.2,NA,0.5,C,no,private,20230518_44_no_private,44,0,0.2,0.4,0.4,NA,NA,0.4,0.1,1
298,2023-05-18T16:59:00Z,2023-05-18T17:13:00Z,2,14,819,0.2,71,NA,NA,71,85,9,No,0.8999999999999999,1.5,0.6,0,0.3,0.6,0.2,0.5,NA,0.3,NA,0.2,NA,0.5,A,no,public,20230518_45_no_public,45,1,0.2,0.4,0.4,NA,NA,0.4,0.4,0
299,2023-05-18T17:00:00Z,2023-05-18T17:07:00Z,2,7,436,NA,NA,33,NA,33,62,32,Yes,0.8,1.4,0.3,0,0.4,0.3,0.1,0.5,A1,0.5,NA,0,0,0.5,A1,yes,public,20230518_44_yes_public,44,1,0,0,NA,0,NA,0,0.2,0
300,2023-05-18T17:00:00Z,2023-05-18T17:14:00Z,2,14,803,0.1,25,NA,NA,25,NA,NA,Yes,0.1,0.7,NA,NA,NA,NA,NA,0.5,NA,0.1,NA,0.1,NA,0.5,B,no,private,20230518_46_no_private,46,0,0.1,0.2,0.2,NA,NA,0.2,NA,NA
301,2023-05-18T17:01:00Z,2023-05-18T17:08:00Z,2,7,431,NA,NA,23,0,NA,NA,NA,Yes,0.1,0.7,NA,NA,NA,NA,NA,0.5,NA,0.1,0,NA,0.1,0.5,B,yes,private,20230518_45_yes_private,45,0,NA,NA,NA,0.2,0,NA,NA,NA
302,2023-05-18T17:01:00Z,2023-05-18T17:18:00Z,2,17,1025,0.1,50,NA,NA,50,50,100,Yes,0.5,1.1,0.5,0.03,NA,0.09,0.03,0.5,NA,0,NA,0.1,NA,0.5,C,no,private,20230518_46_no_private,46,0,0.1,0.2,0.2,NA,NA,0.2,0.06,1
303,2023-05-18T17:02:00Z,2023-05-18T17:17:00Z,2,15,877,NA,NA,100,33,100,100,100,No,1.5,2.1,1.5,1.5,NA,1.5,0.5,0.5,A1,0,0.1,NA,0.25,0.5,C,yes,private,20230518_46_yes_private,46,0,0.25,NA,NA,0.5,0.2,0.5,1,3
304,2023-05-18T17:03:00Z,2023-05-18T17:15:00Z,2,12,676,NA,NA,92,87,NA,NA,NA,No,0.35,0.95,NA,NA,NA,NA,NA,0.5,NA,0.35,0.1,NA,0.25,0.5,B,yes,private,20230518_46_yes_private,46,0,NA,NA,NA,0.5,0.2,NA,NA,NA
305,2023-05-18T17:03:00Z,2023-05-18T17:11:00Z,2,8,479,0,32,NA,NA,32,NA,NA,Yes,0,0.6,NA,NA,NA,NA,NA,0.5,NA,0,NA,0,NA,0.5,B,no,public,20230518_47_no_public,47,1,0,0,0,NA,NA,0,NA,NA
306,2023-05-18T17:03:00Z,2023-05-18T17:15:00Z,2,12,717,NA,NA,63,100,100,100,41,Yes,0.25,0.85,0.25,0.25,NA,1.5,0.5,0.5,A2,0,0.5,NA,0.25,0.5,C,yes,public,20230518_47_yes_public,47,1,0.5,NA,NA,0.5,1,1,1,0.5
307,2023-05-18T17:04:00Z,2023-05-18T17:16:00Z,2,12,693,0.5,73,NA,NA,73,NA,NA,No,0.5,1.1,NA,NA,NA,NA,NA,0.5,NA,0.5,NA,0.5,NA,0.5,B,no,private,20230518_48_no_private,48,0,0.5,1,1,NA,NA,1,NA,NA
308,2023-05-18T17:05:00Z,2023-05-18T17:12:00Z,2,7,406,0,0,NA,NA,0,100,100,Yes,0.5,1.1,0.5,0.2,NA,0.6,0.2,0.5,NA,0,NA,0,NA,0.5,C,no,public,20230518_47_no_public,47,1,0,0,0,NA,NA,0,0.4,1
309,2023-05-18T17:05:00Z,2023-05-18T17:14:00Z,2,9,559,NA,NA,NA,75,75,82,75,Yes,1.25,1.85,1.25,0.25,0,1.5,0.5,0.5,A2,0,0.5,0.5,NA,0.5,A2,yes,public,20230518_47_yes_public,47,1,0.5,1,NA,NA,1,1,1,0.5
310,2023-05-18T17:05:00Z,2023-05-18T17:14:00Z,2,9,515,0.5,75,NA,NA,75,82,81,Yes,1,1.6,1,0.5,0,1.5,0.5,0.5,NA,0,NA,0.5,NA,0.5,A,no,private,20230518_48_no_private,48,0,0.5,1,1,NA,NA,1,1,1
311,2023-05-18T17:05:00Z,2023-05-18T17:14:00Z,2,9,502,0.5,86,NA,NA,86,94,86,Yes,0.5,1.1,0.5,0.5,NA,1.5,0.5,0.5,NA,0,NA,0.5,NA,0.5,C,no,private,20230518_48_no_private,48,0,0.5,1,1,NA,NA,1,1,1
312,2023-05-18T17:06:00Z,2023-05-18T17:13:00Z,2,7,400,0,14,NA,NA,14,45,67,No,0.9,1.5,0.4,0.2,0.3,0.6,0.2,0.5,NA,0.5,NA,0,NA,0.5,A,no,public,20230518_47_no_public,47,1,0,0,0,NA,NA,0,0.4,1
313,2023-05-18T17:07:00Z,2023-05-18T17:21:00Z,2,14,834,NA,NA,NA,60,NA,NA,NA,Yes,0.4,1,NA,NA,NA,NA,NA,0.5,A1,0.4,0.1,0.1,NA,0.5,A2,yes,public,20230518_48_yes_public,48,1,NA,0.2,NA,NA,0.2,NA,NA,NA
314,2023-05-18T17:08:00Z,2023-05-18T17:19:00Z,2,11,639,NA,NA,100,23,NA,NA,NA,Yes,0.6,1.2,NA,NA,NA,NA,NA,0.5,NA,0.6,0.1,NA,0.5,0.5,B,yes,public,20230518_48_yes_public,48,1,NA,NA,NA,1,0.2,NA,NA,NA
315,2023-05-18T17:08:00Z,2023-05-18T17:16:00Z,2,8,483,NA,NA,65,86,NA,NA,NA,Yes,0.1,0.7,NA,NA,NA,NA,NA,0.5,NA,0.1,0,NA,0.1,0.5,B,yes,private,20230518_49_yes_private,49,0,NA,NA,NA,0.2,0,NA,NA,NA
316,2023-05-18T17:09:00Z,2023-05-18T17:20:00Z,2,11,669,0.25,95,NA,NA,95,NA,NA,No,0.25,0.85,NA,NA,NA,NA,NA,0.5,NA,0.25,NA,0.25,NA,0.5,B,no,private,20230518_49_no_private,49,0,0.25,0.5,0.5,NA,NA,0.5,NA,NA
317,2023-05-18T17:10:00Z,2023-05-18T17:19:00Z,2,9,528,0.25,88,NA,NA,88,0,49,Yes,0.25,0.85,0,NA,0.5,0,0,0.5,NA,0.25,NA,0.25,NA,0.5,A,no,private,20230518_49_no_private,49,0,0.25,0.5,0.5,NA,NA,0.5,0,NA
318,2023-05-18T17:10:00Z,2023-05-18T17:16:00Z,2,6,364,0.2,54,NA,NA,54,26,50,Yes,0.5,1.1,0.5,NA,NA,0,0,0.5,NA,0,NA,0.2,NA,0.5,C,no,public,20230518_50_no_public,50,1,0.2,0.4,0.4,NA,NA,0.4,0,NA
319,2023-05-18T17:14:00Z,2023-05-18T17:24:00Z,2,10,650,0,29,NA,NA,29,71,70,Yes,1,1.6,1,1,NA,1.5,0.5,0.5,NA,0,NA,0,NA,0.5,C,no,private,20230518_51_no_private,51,0,0,0,0,NA,NA,0,1,2
320,2023-05-18T17:14:00Z,2023-05-18T17:22:00Z,2,8,518,0.25,91,NA,NA,91,NA,NA,Yes,0.25,0.85,NA,NA,NA,NA,NA,0.5,NA,0.25,NA,0.25,NA,0.5,B,no,public,20230518_52_no_public,52,1,0.25,0.5,0.5,NA,NA,0.5,NA,NA
321,2023-05-18T17:16:00Z,2023-05-18T17:26:00Z,2,10,605,NA,NA,78,NA,78,77,78,No,0.75,1.35,0.5,0.25,0.25,0.75,0.25,0.5,A1,0.25,NA,0.25,0.25,0.5,A1,yes,public,20230518_50_yes_public,50,1,0.25,0.5,NA,0.5,NA,0.5,0.5,1
322,2023-05-18T17:16:00Z,2023-05-18T17:23:00Z,2,7,399,NA,NA,49,79,NA,NA,NA,No,0.75,1.35,NA,NA,NA,NA,NA,0.5,NA,0.75,0.5,NA,0.25,0.5,B,yes,public,20230518_50_yes_public,50,1,NA,NA,NA,0.5,1,NA,NA,NA
323,2023-05-18T17:16:00Z,2023-05-18T17:24:00Z,2,8,447,NA,NA,74,89,74,83,69,Yes,0.5,1.1,0.5,0.25,NA,0.75,0.25,0.5,A1,0,0.5,NA,0.25,0.5,C,yes,public,20230518_50_yes_public,50,1,0.25,NA,NA,0.5,1,0.5,0.5,1
324,2023-05-18T17:16:00Z,2023-05-18T17:26:00Z,2,10,579,0,4,NA,NA,4,97,90,No,1,1.6,0.5,1,0,1.5,0.5,0.5,NA,0.5,NA,0,NA,0.5,A,no,private,20230518_51_no_private,51,0,0,0,0,NA,NA,0,1,2
325,2023-05-18T17:16:00Z,2023-05-18T17:26:00Z,2,10,621,0,0,NA,NA,0,NA,NA,Yes,0,0.6,NA,NA,NA,NA,NA,0.5,NA,0,NA,0,NA,0.5,B,no,private,20230518_51_no_private,51,0,0,0,0,NA,NA,0,NA,NA
326,2023-05-18T17:16:00Z,2023-05-18T17:32:00Z,2,16,960,NA,NA,33,100,NA,NA,NA,No,0.6,1.2,NA,NA,NA,NA,NA,0.5,NA,0.6,0.5,NA,0.1,0.5,B,yes,public,20230518_52_yes_public,52,1,NA,NA,NA,0.2,1,NA,NA,NA
327,2023-05-18T17:16:00Z,2023-05-18T17:24:00Z,2,8,468,0.15,19,NA,NA,19,NA,NA,No,0.15,0.75,NA,NA,NA,NA,NA,0.5,NA,0.15,NA,0.15,NA,0.5,B,no,public,20230518_53_no_public,53,1,0.15,0.3,0.3,NA,NA,0.3,NA,NA
328,2023-05-18T17:16:00Z,2023-05-18T17:25:00Z,2,9,545,0.15,12,NA,NA,12,97,51,Yes,0.5,1.1,0.5,NA,NA,0,0,0.5,NA,0,NA,0.15,NA,0.5,C,no,public,20230518_53_no_public,53,1,0.15,0.3,0.3,NA,NA,0.3,0,NA
329,2023-05-18T17:16:00Z,2023-05-18T17:29:00Z,2,13,764,NA,NA,58,85,NA,NA,NA,Yes,0.75,1.35,NA,NA,NA,NA,NA,0.5,NA,0.75,0.5,NA,0.25,0.5,B,yes,private,20230518_53_yes_private,53,0,NA,NA,NA,0.5,1,NA,NA,NA
330,2023-05-18T17:16:00Z,2023-05-18T17:29:00Z,2,13,791,0.3,78,NA,NA,78,NA,NA,No,0.3,0.8999999999999999,NA,NA,NA,NA,NA,0.5,NA,0.3,NA,0.3,NA,0.5,B,no,private,20230518_54_no_private,54,0,0.3,0.6,0.6,NA,NA,0.6,NA,NA
331,2023-05-18T17:18:00Z,2023-05-18T17:32:00Z,2,14,872,NA,NA,NA,100,100,100,100,No,0.75,1.35,0.75,0.75,0,1.5,0.5,0.5,A2,0,0.5,0.5,NA,0.5,A2,yes,private,20230518_53_yes_private,53,0,0.5,1,NA,NA,1,1,1,1.5
332,2023-05-18T17:19:00Z,2023-05-18T17:27:00Z,2,8,470,0.15,78,NA,NA,78,0,100,No,0.35,0.95,0,NA,0.5,0,0,0.5,NA,0.35,NA,0.15,NA,0.5,A,no,public,20230518_53_no_public,53,1,0.15,0.3,0.3,NA,NA,0.3,0,NA
333,2023-05-18T17:19:00Z,2023-05-18T17:30:00Z,2,11,689,NA,NA,51,NA,NA,NA,NA,No,0.25,0.85,NA,NA,NA,NA,NA,0.5,A2,0.25,NA,0.25,0.25,0.5,A1,yes,private,20230518_53_yes_private,53,0,NA,0.5,NA,0.5,NA,NA,NA,NA
334,2023-05-18T17:19:00Z,2023-05-18T17:35:00Z,2,16,957,0.3,92,NA,NA,92,92,94,Yes,0.8,1.4,0.6,0.3,0.2,0.9,0.3,0.5,NA,0.2,NA,0.3,NA,0.5,A,no,private,20230518_54_no_private,54,0,0.3,0.6,0.6,NA,NA,0.6,0.6,1
